is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent
0,0,0,C,C,3,No Deposit,NULL
0,0,0,C,C,4,No Deposit,NULL
0,0,0,A,C,0,No Deposit,NULL
0,0,0,A,A,0,No Deposit,304
0,0,0,A,A,0,No Deposit,240
0,0,0,A,A,0,No Deposit,240
0,0,0,C,C,0,No Deposit,NULL
0,0,0,C,C,0,No Deposit,303
0,0,0,A,A,0,No Deposit,240
0,0,0,D,D,0,No Deposit,15
0,0,0,E,E,0,No Deposit,240
0,0,0,D,D,0,No Deposit,240
0,0,0,D,E,0,No Deposit,240
0,0,0,G,G,1,No Deposit,241
0,0,0,E,E,0,No Deposit,241
0,0,0,D,E,0,No Deposit,240
0,0,0,E,E,0,No Deposit,8
0,0,0,A,E,0,No Deposit,240
0,0,0,A,G,0,No Deposit,NULL
0,0,0,G,G,0,No Deposit,250
0,0,0,F,F,0,No Deposit,241
0,0,0,A,A,1,No Deposit,250
0,0,0,A,A,1,No Deposit,250
0,0,0,D,D,1,No Deposit,250
0,0,0,D,I,0,No Deposit,115
0,0,0,D,D,0,No Deposit,5
0,0,0,D,D,0,No Deposit,8
0,0,0,E,E,0,No Deposit,240
0,0,0,A,A,0,No Deposit,240
0,0,0,D,D,0,No Deposit,240
0,0,0,A,A,2,No Deposit,NULL
0,0,0,D,D,0,No Deposit,241
0,0,0,E,E,0,No Deposit,NULL
0,0,0,A,C,0,No Deposit,175
0,0,0,D,D,0,No Deposit,241
0,0,0,D,D,0,No Deposit,241
0,0,0,A,C,0,No Deposit,240
0,0,0,D,D,0,No Deposit,241
0,0,0,D,D,0,No Deposit,241
0,0,0,E,E,0,No Deposit,250
0,0,0,G,G,0,No Deposit,241
0,0,0,D,D,0,No Deposit,8
0,0,0,F,F,0,No Deposit,NULL
0,0,0,E,E,0,No Deposit,250
0,0,0,A,A,0,No Deposit,240
0,0,0,G,G,0,No Deposit,240
0,0,0,A,A,0,No Deposit,134
0,0,0,E,E,0,No Deposit,156
0,0,0,A,B,1,No Deposit,243
0,0,0,E,F,1,No Deposit,241
0,0,0,D,D,0,No Deposit,156
0,0,0,A,A,0,No Deposit,156
0,0,0,D,D,0,No Deposit,243
0,0,0,A,C,0,No Deposit,240
0,0,0,H,H,0,No Deposit,240
0,0,0,C,C,0,No Deposit,NULL
0,0,0,H,H,0,No Deposit,NULL
0,0,0,A,D,0,No Deposit,240
0,0,0,G,G,0,No Deposit,NULL
0,0,0,A,C,0,No Deposit,242
0,0,0,G,G,0,No Deposit,241
0,0,0,E,E,0,No Deposit,240
0,0,0,F,F,0,No Deposit,250
0,0,0,A,C,0,No Deposit,115
0,0,0,A,A,0,No Deposit,240
0,0,0,G,H,0,No Deposit,240
0,0,0,A,C,0,No Deposit,240
0,0,0,D,D,0,No Deposit,242
0,0,0,A,A,0,No Deposit,242
0,0,0,A,A,0,No Deposit,240
0,0,0,D,D,0,No Deposit,240
0,0,0,A,A,0,No Deposit,240
0,0,0,A,A,0,No Deposit,3
0,0,0,A,A,0,No Deposit,240
0,0,0,A,A,0,No Deposit,242
0,0,0,A,A,0,No Deposit,240
0,0,0,E,E,0,No Deposit,240
0,0,0,A,A,0,No Deposit,240
0,0,0,A,A,0,No Deposit,105
0,0,0,D,D,0,No Deposit,5
0,0,0,A,A,0,No Deposit,40
0,0,0,A,A,0,No Deposit,40
0,0,0,A,A,0,No Deposit,40
0,0,0,A,A,2,No Deposit,250
0,0,0,E,E,0,No Deposit,115
0,0,0,E,E,0,No Deposit,40
0,0,0,F,F,1,No Deposit,241
0,0,0,A,A,0,No Deposit,242
0,0,0,A,C,0,No Deposit,240
0,0,0,A,C,0,No Deposit,240
0,0,0,A,C,0,No Deposit,240
0,0,0,E,E,0,No Deposit,240
0,0,0,C,C,0,No Deposit,241
0,0,0,A,A,0,No Deposit,240
0,0,0,A,A,0,No Deposit,240
0,0,0,A,A,0,No Deposit,240
0,0,0,F,F,0,No Deposit,242
0,0,0,E,E,0,No Deposit,105
0,0,0,D,D,0,No Deposit,240
0,0,0,E,E,0,No Deposit,250
0,0,0,A,C,0,No Deposit,250
0,0,0,D,D,0,No Deposit,8
0,0,0,F,F,0,No Deposit,241
0,0,0,A,C,0,No Deposit,240
0,0,0,E,E,0,No Deposit,240
0,0,0,H,H,0,No Deposit,240
0,0,0,D,D,0,No Deposit,250
0,0,0,A,A,0,No Deposit,240
0,0,0,A,A,0,No Deposit,134
0,0,0,A,A,0,No Deposit,240
